data:text/csv;charset=utf-8,
id_ibge,location,year,age,classes,enrolled,bra_id,num_schools,bra_1,bra_3,bra_5,bra_7,bra_9,enrolled_classes,bra_display,bra_rca,wld_rca,enrolled_growth,enrolled_growth_5
4211900,"Palhoça",2012,12.2118,992,24882,"5sc000004",57,"5","5sc","5sc00","5sc0000","5sc000004",25.08266129032258,"5SC000004",false,false,0.0232769,0.0135209
4211900,"Palhoça",2013,12.26,992,25158,"5sc000004",60,"5","5sc","5sc00","5sc0000","5sc000004",25.360887096774192,"5SC000004",false,false,0.01,0.01
4211900,"Palhoça",2014,12.76,1047,26307,"5sc000004",60,"5","5sc","5sc00","5sc0000","5sc000004",25.126074498567334,"5SC000004",false,false,0.05,0.01
4211900,"Palhoça",2015,12.2483,1026,26241,"5sc000004",59,"5","5sc","5sc00","5sc0000","5sc000004",25.576023391812864,"5SC000004",false,false,-0.00250884,0.0173876
4212304,"Paulo Lopes",2007,12.2449,55,1384,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",25.163636363636364,"5SC000005",false,false,,
4212304,"Paulo Lopes",2008,12.2351,52,1310,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",25.192307692307693,"5SC000005",false,false,-0.0534682,
4212304,"Paulo Lopes",2009,12.2868,56,1339,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",23.910714285714285,"5SC000005",false,false,0.0221374,
4212304,"Paulo Lopes",2010,12.2037,55,1301,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",23.654545454545456,"5SC000005",false,false,-0.0283794,
4212304,"Paulo Lopes",2011,12.0593,59,1232,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",20.88135593220339,"5SC000005",false,false,-0.0530361,
4212304,"Paulo Lopes",2012,12.0751,61,1239,"5sc000005",7,"5","5sc","5sc00","5sc0000","5sc000005",20.311475409836067,"5SC000005",false,false,0.00568182,-0.0218915
4212304,"Paulo Lopes",2013,12.09,53,1177,"5sc000005",6,"5","5sc","5sc00","5sc0000","5sc000005",22.20754716981132,"5SC000005",false,false,-0.05,-0.02
4212304,"Paulo Lopes",2014,12.24,53,1182,"5sc000005",5,"5","5sc","5sc00","5sc0000","5sc000005",22.30188679245283,"5SC000005",false,false,0,-0.02
4212304,"Paulo Lopes",2015,12.1904,58,1150,"5sc000005",5,"5","5sc","5sc00","5sc0000","5sc000005",19.82758620689655,"5SC000005",false,false,-0.0270728,-0.0243723
4215703,"Santo Amaro da Imperatriz",2007,12.3767,161,3523,"5sc000006",16,"5","5sc","5sc00","5sc0000","5sc000006",21.88198757763975,"5SC000006",false,false,,
4215703,"Santo Amaro da Imperatriz",2008,12.4249,158,3455,"5sc000006",15,"5","5sc","5sc00","5sc0000","5sc000006",21.867088607594937,"5SC000006",false,false,-0.0193017,
4215703,"Santo Amaro da Imperatriz",2009,12.3931,179,3696,"5sc000006",17,"5","5sc","5sc00","5sc0000","5sc000006",20.64804469273743,"5SC000006",false,false,0.069754,
4215703,"Santo Amaro da Imperatriz",2010,12.3922,170,3728,"5sc000006",16,"5","5sc","5sc00","5sc0000","5sc000006",21.929411764705883,"5SC000006",false,false,0.00865801,
4215703,"Santo Amaro da Imperatriz",2011,12.3438,178,3706,"5sc000006",17,"5","5sc","5sc00","5sc0000","5sc000006",20.820224719101123,"5SC000006",false,false,-0.00590129,
4215703,"Santo Amaro da Imperatriz",2012,12.4335,179,3714,"5sc000006",17,"5","5sc","5sc00","5sc0000","5sc000006",20.748603351955307,"5SC000006",false,false,0.00215866,0.0106153
4215703,"Santo Amaro da Imperatriz",2013,12.47,162,3687,"5sc000006",15,"5","5sc","5sc00","5sc0000","5sc000006",22.75925925925926,"5SC000006",false,false,-0.01,0.01
4215703,"Santo Amaro da Imperatriz",2014,12.45,178,3866,"5sc000006",16,"5","5sc","5sc00","5sc0000","5sc000006",21.719101123595507,"5SC000006",false,false,0.05,0.01
4215703,"Santo Amaro da Imperatriz",2015,12.3524,177,3953,"5sc000006",15,"5","5sc","5sc00","5sc0000","5sc000006",22.333333333333332,"5SC000006",false,false,0.0225039,0.0117895
