data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,156235.61,22,7101.62,0,0,0,0,"5sc010107","c10414",0.263,0.772,0.186,"c","c10","c10414",262,47.425,0,0,"10414",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10422",0,0.773,0.081,"c","c10","c10422",193,50.559,0,0,"10422",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10431",0,0.76,-0.132,"c","c10","c10431",126,32.976,0,0,"10431",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10511",0,0.766,0.225,"c","c10","c10511",219,35.278,0,0,"10511",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10520",0,0.768,0.379,"c","c10","c10520",314,31.511,0,0,"10520",false,false
4209102,"Joinville",2023,267320.22,110,2430.18,0.375,0.079,0.122,0.028,"5sc010107","c10538",0.83,0.737,0.088,"c","c10","c10538",264,28.753,0,0,"10538",false,false
4209102,"Joinville",2023,4246.14,4,1061.54,-0.776,-0.235,-0.6,-0.197,"5sc010107","c10619",0.012,0.762,0.155,"c","c10","c10619",223,33.346,0,0,"10619",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10627",0,0.76,0.041,"c","c10","c10627",222,35.966,0,0,"10627",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10635",0,0.756,0.186,"c","c10","c10635",134,26.001,0,0,"10635",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10643",0,0.753,0.159,"c","c10","c10643",198,31.916,0,0,"10643",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10651",0,0.766,0.304,"c","c10","c10651",194,32.788,0,0,"10651",false,false
4209102,"Joinville",2023,10081.47,4,2520.37,-0.555,0.082,-0.556,0.059,"5sc010107","c10660",0.008,0.763,0.225,"c","c10","c10660",347,39.147,0,0,"10660",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10694",0,0.777,0.192,"c","c10","c10694",240,41.725,0,0,"10694",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10716",0,0.781,0.13,"c","c10","c10716",350,27.308,0,0,"10716",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10724",0,0.776,-0.037,"c","c10","c10724",131,18.965,0,0,"10724",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10813",0,0.758,0.276,"c","c10","c10813",203,33.125,0,0,"10813",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10821",0,0.765,0.071,"c","c10","c10821",131,30.769,0,0,"10821",false,false
4209102,"Joinville",2023,2545762.16,1228,2073.1,-0.017,0.077,-0.049,0.029,"5sc010107","c10911",1.094,0.713,0.173,"c","c10","c10911",354,18.943,0,0,"10911",true,false
